first_name,middle_name,last_name,phone,gender,current_class,parent_name,parent_phone
Abebe,Kebede,Abebe,0912345678,MALE,Grade 9,Kebede Abebe,0931400581
Biruk,Alemu,Biruk,0912345679,FEMALE,Grade 9,Alemu Biruk,0956330137
Chala,Deressa,Chala,0912345680,MALE,Grade 9,Deressa Chala,0942297464
Dawit,Wolde,Dawit,0912345681,MALE,Grade 9,Wolde Dawit,0918006756
Etenesh,Tadesse,Etenesh,0912345682,FEMALE,Grade 9,Tadesse Etenesh,0928219532
Fikadu,Solomon,Fikadu,0912345683,MALE,Grade 9,Solomon Fikadu,0916221375
Gelila,Mohammed,Gelila,0912345684,FEMALE,Grade 9,Mohammed Gelila,0943859522
Hailu,Tekalign,Hailu,0912345685,MALE,Grade 9,Tekalign Hailu,0938908903
Insermu,Bekele,Insermu,0912345686,MALE,Grade 9,Bekele Insermu,0994373110
Jemal,Ahmed,Jemal,0912345687,MALE,Grade 9,Ahmed Jemal,0950942545
Kalki,Girma,Kalki,0912345688,MALE,Grade 10,Girma Kalki,0931633835
Lidya,Habtamu,Lidya,0912345689,FEMALE,Grade 10,Habtamu Lidya,0993951969
Mekonnen,Asrat,Mekonnen,0912345690,MALE,Grade 10,Asrat Mekonnen,0973006252
Nataniya,Getu,Nataniya,0912345691,MALE,Grade 10,Getu Nataniya,0947785814
Oladipo,Mensah,Oladipo,0912345692,MALE,Grade 10,Mensah Oladipo,0928147793
Petros,Biru,Petros,0912345693,MALE,Grade 10,Biru Petros,0918026857
Rahel,Zenebe,Rahel,0912345694,FEMALE,Grade 10,Zenebe Rahel,0919779755
Samuel,Kassa,Samuel,0912345695,MALE,Grade 10,Kassa Samuel,0961547150
Tigist,Ayele,Tigist,0912345696,FEMALE,Grade 10,Ayele Tigist,0993342933
Yohannes,Demeke,Yohannes,0912345697,MALE,Grade 10,Demeke Yohannes,0973646156
Almaz,Tesfaye,Almaz,0912345698,FEMALE,Grade 11,Tesfaye Almaz,0939770031
Bezawork,Shiferaw,Bezawork,0912345699,MALE,Grade 11,Shiferaw Bezawork,0939443055
Cyprian,Ochieng,Cyprian,0912345700,MALE,Grade 11,Ochieng Cyprian,0971974946
Daniel,Melaku,Daniel,0912345701,MALE,Grade 11,Melaku Daniel,0914984519
Ester,Gobeze,Ester,0912345702,FEMALE,Grade 11,Gobeze Ester,0990387782
Frezer,Berhanu,Frezer,0912345703,MALE,Grade 11,Berhanu Frezer,0935000201
Genet,Worku,Genet,0912345704,FEMALE,Grade 11,Worku Genet,0939248008
Haben,Hailemariam,Haben,0912345705,MALE,Grade 11,Hailemariam Haben,0999927204
Ibrahim,Musa,Ibrahim,0912345706,MALE,Grade 11,Musa Ibrahim,0958414560
Josiah,Kamau,Josiah,0912345707,MALE,Grade 11,Kamau Josiah,0929455588
Kiflom,Hagos,Kiflom,0912345708,MALE,Grade 12,Hagos Kiflom,0977846310
Liul,Workneh,Liul,0912345709,MALE,Grade 12,Workneh Liul,0926129483
Meskerem,Assefa,Meskerem,0912345710,FEMALE,Grade 12,Assefa Meskerem,0915236711
Nibret,Gudeta,Nibret,0912345711,MALE,Grade 12,Gudeta Nibret,0957928936
Oscar,Otiende,Oscar,0912345712,MALE,Grade 12,Otiende Oscar,0979385413
Patience,Mugo,Patience,0912345713,FEMALE,Grade 12,Mugo Patience,0929218311
Queenesta,Bekele,Queenesta,0912345714,FEMALE,Grade 12,Bekele Queenesta,0913547371
Reuben,Otieno,Reuben,0912345715,MALE,Grade 12,Otieno Reuben,0969509362
Selamawit,Abebe,Selamawit,0912345716,FEMALE,Grade 12,Abebe Selamawit,0927561962
Ahmed,Hasen,Edo,0912345718,MALE,Grade 9,Hasen Ahmed Edo,0935483044
Mahi,Abel,Tesfaye,0912345719,FEMALE,Grade 9,Abel Tesfaye,0930001111
Noah,Abel,Tesfaye,0912345720,MALE,Grade 9,Abel Tesfaye,0930001111
Sara,Abel,Tesfaye,0912345721,FEMALE,Grade 9,Abel Tesfaye,0930001111
Tamrat,Negussie,Tamrat,0912345717,MALE,Grade 12,Negussie Tamrat,0935483043
